"V1" "V2"
"1" "ccxx9999" "threebig"
"2" "ccxx9999" "ivorysoap"
"3" "ccxx9999" "artpower"
"4" "ccxx9999" "ffreakk"
"5" "ccxx9999" "lol404"
"6" "ccxx9999" "sd09090"
"7" "ccxx9999" "bxnxmx"
"8" "ccxx9999" "terry1043"
"9" "ccxx9999" "cuhappy"
"10" "ccxx9999" "cuhappy"
"11" "loveve5566" "guohuo"
"12" "loveve5566" "henrycc"
"13" "loveve5566" "j55888819"
"14" "loveve5566" "scores"
"15" "loveve5566" "kgb1019"
"16" "loveve5566" "h90257"
"17" "loveve5566" "live1002"
"18" "loveve5566" "scores"
"19" "loveve5566" "njxmzxc"
"20" "loveve5566" "chilahachila"
"21" "loveve5566" "hmcedamon"
"22" "loveve5566" "zaLPck"
"23" "loveve5566" "tchialen"
"24" "loveve5566" "allenatptt"
"25" "loveve5566" "losel"
"26" "loveve5566" "kantantantan"
"27" "loveve5566" "losel"
"28" "loveve5566" "gugucaca"
"29" "loveve5566" "SangoGG"
"30" "awdxabc295" "TomRiddle"
"31" "awdxabc295" "r30385"
"32" "awdxabc295" "CharleneTsai"
"33" "awdxabc295" "deep5566"
"34" "awdxabc295" "kuijun228"
"35" "awdxabc295" "JEWH"
"36" "awdxabc295" "DongWooNeKo"
"37" "awdxabc295" "aoiaoi"
"38" "awdxabc295" "kgb1019"
"39" "awdxabc295" "showdoggy"
"40" "awdxabc295" "crimson11"
"41" "flower42" "rettam"
"42" "flower42" "DongWooNeKo"
"43" "flower42" "kuijun228"
"44" "flower42" "aoiaoi"
"45" "flower42" "lol404"
"46" "flower42" "avgirl"
"47" "flower42" "avgirl"
"48" "flower42" "allenatptt"
"49" "flower42" "Deadfisheyes"
"50" "Kate5566" "TomRiddle"
"51" "Kate5566" "tigerjohn"
"52" "Kate5566" "cattgirl"
"53" "Kate5566" "Golbeza"
"54" "Kate5566" "TomRiddle"
"55" "Kate5566" "kuijun228"
"56" "Kate5566" "TomRiddle"
"57" "Kate5566" "Deadfisheyes"
"58" "Kate5566" "kuijun228"
"59" "Kate5566" "allenatptt"
"60" "Kate5566" "fuxin999"
"61" "Kate5566" "salesperson"
"62" "liang691206" "kuijun228"
"63" "liang691206" "OpenGoodHate"
"64" "liang691206" "CharleneTsai"
"65" "liang691206" "frozenmoon"
"66" "cirin" "wayne62"
"67" "pttloser5566" "TomRiddle"
"68" "pttloser5566" "TomRiddle"
"69" "pttloser5566" "allenatptt"
"70" "pttloser5566" "GGrunrundela"
"71" "pttloser5566" "lol404"
"72" "pttloser5566" "lester34567"
"73" "pttloser5566" "crimson11"
"74" "pttloser5566" "aoiaoi"
"75" "pttloser5566" "atsai"
"76" "tello" "Deadfisheyes"
"77" "JEWH" "fantasibear"
"78" "JEWH" "kgb1019"
"79" "JEWH" "kuijun228"
"80" "JEWH" "CharleneTsai"
"81" "JEWH" "hmcedamon"
"82" "JEWH" "GetMoney"
"83" "JEWH" "purplebfly"
"84" "JEWH" "crimson11"
"85" "jodawa" "trumpete"
"86" "jodawa" "yc0304"
"87" "jodawa" "forhorde5566"
"88" "cayman2009" "paleomort"
"89" "cayman2009" "loopme"
"90" "cayman2009" "neuralandre"
"91" "cayman2009" "abbjesper"
"92" "cayman2009" "share8426"
